date,count,month,month_name
07-04,962,07,Jul
01-01,348,01,Jan
11-16,322,11,Nov
08-15,312,08,Aug
10-31,300,10,Oct
07-15,293,07,Jul
09-01,284,09,Sep
07-03,277,07,Jul
10-15,273,10,Oct
09-19,270,09,Sep
10-01,265,10,Oct
06-15,256,06,Jun
12-31,245,12,Dec
07-07,241,07,Jul
09-15,241,09,Sep
06-30,236,06,Jun
08-12,236,08,Aug
11-01,226,11,Nov
08-20,221,08,Aug
07-13,219,07,Jul
11-08,218,11,Nov
07-06,216,07,Jul
06-01,216,06,Jun
07-05,212,07,Jul
11-15,209,11,Nov
11-28,208,11,Nov
08-10,206,08,Aug
10-20,205,10,Oct
09-22,205,09,Sep
08-11,203,08,Aug
09-11,202,09,Sep
08-31,201,08,Aug
09-30,200,09,Sep
09-21,198,09,Sep
11-18,198,11,Nov
07-01,197,07,Jul
08-13,197,08,Aug
12-01,197,12,Dec
08-21,196,08,Aug
09-28,195,09,Sep
08-01,195,08,Aug
09-10,194,09,Sep
10-13,193,10,Oct
12-24,193,12,Dec
08-19,192,08,Aug
08-07,190,08,Aug
09-02,190,09,Sep
11-03,187,11,Nov
09-14,186,09,Sep
08-25,185,08,Aug
08-24,185,08,Aug
08-04,185,08,Aug
07-10,184,07,Jul
07-25,182,07,Jul
03-15,182,03,Mar
07-18,182,07,Jul
08-06,181,08,Aug
05-15,181,05,May
08-03,181,08,Aug
06-20,180,06,Jun
11-17,180,11,Nov
09-20,180,09,Sep
08-18,179,08,Aug
09-17,178,09,Sep
08-14,178,08,Aug
11-19,178,11,Nov
10-23,177,10,Oct
11-10,177,11,Nov
09-12,176,09,Sep
09-09,176,09,Sep
06-23,175,06,Jun
07-27,175,07,Jul
10-12,175,10,Oct
08-30,175,08,Aug
08-17,174,08,Aug
07-14,173,07,Jul
11-05,173,11,Nov
07-17,172,07,Jul
07-20,172,07,Jul
10-14,171,10,Oct
10-28,171,10,Oct
11-02,171,11,Nov
10-22,171,10,Oct
08-08,169,08,Aug
09-08,169,09,Sep
06-19,168,06,Jun
09-25,168,09,Sep
10-10,168,10,Oct
10-30,167,10,Oct
12-25,167,12,Dec
06-24,167,06,Jun
10-24,167,10,Oct
07-21,166,07,Jul
10-09,166,10,Oct
07-12,166,07,Jul
08-28,166,08,Aug
01-15,165,01,Jan
07-31,165,07,Jul
09-04,164,09,Sep
10-06,164,10,Oct
07-09,164,07,Jul
09-05,164,09,Sep
08-16,164,08,Aug
06-22,163,06,Jun
08-23,163,08,Aug
08-27,163,08,Aug
08-05,163,08,Aug
09-18,163,09,Sep
12-13,162,12,Dec
10-08,162,10,Oct
11-13,161,11,Nov
09-03,161,09,Sep
10-05,161,10,Oct
11-07,160,11,Nov
09-07,160,09,Sep
08-22,159,08,Aug
07-11,159,07,Jul
09-13,159,09,Sep
06-25,159,06,Jun
07-23,158,07,Jul
11-22,158,11,Nov
09-29,157,09,Sep
10-19,156,10,Oct
12-10,155,12,Dec
10-03,155,10,Oct
10-29,155,10,Oct
10-21,155,10,Oct
09-26,154,09,Sep
10-16,153,10,Oct
07-30,153,07,Jul
07-28,153,07,Jul
11-09,153,11,Nov
11-12,153,11,Nov
08-02,153,08,Aug
11-06,151,11,Nov
09-23,150,09,Sep
10-26,150,10,Oct
10-17,149,10,Oct
06-14,149,06,Jun
11-20,149,11,Nov
06-18,147,06,Jun
06-06,147,06,Jun
11-14,146,11,Nov
04-16,146,04,Apr
10-25,146,10,Oct
04-29,145,04,Apr
10-18,145,10,Oct
08-26,144,08,Aug
06-28,144,06,Jun
10-11,143,10,Oct
12-12,143,12,Dec
11-23,143,11,Nov
09-06,143,09,Sep
07-02,142,07,Jul
06-21,142,06,Jun
12-15,142,12,Dec
11-04,141,11,Nov
03-13,141,03,Mar
01-10,141,01,Jan
10-04,141,10,Oct
07-29,141,07,Jul
11-11,141,11,Nov
12-03,141,12,Dec
11-24,140,11,Nov
06-05,139,06,Jun
05-26,139,05,May
05-01,139,05,May
06-10,138,06,Jun
07-26,138,07,Jul
06-29,138,06,Jun
08-29,138,08,Aug
06-26,138,06,Jun
04-15,138,04,Apr
07-16,138,07,Jul
03-14,137,03,Mar
03-01,137,03,Mar
05-05,137,05,May
02-15,136,02,Feb
10-02,136,10,Oct
07-08,136,07,Jul
04-01,136,04,Apr
02-16,135,02,Feb
03-09,135,03,Mar
06-09,134,06,Jun
09-16,134,09,Sep
04-17,134,04,Apr
09-27,134,09,Sep
07-22,134,07,Jul
04-20,134,04,Apr
03-10,133,03,Mar
12-05,133,12,Dec
05-20,133,05,May
06-08,133,06,Jun
12-23,131,12,Dec
06-07,131,06,Jun
06-16,131,06,Jun
10-27,130,10,Oct
12-29,130,12,Dec
07-24,130,07,Jul
02-20,130,02,Feb
04-24,129,04,Apr
12-02,129,12,Dec
09-24,129,09,Sep
02-02,129,02,Feb
01-08,129,01,Jan
07-19,128,07,Jul
06-27,128,06,Jun
08-09,128,08,Aug
02-01,128,02,Feb
04-14,128,04,Apr
12-06,128,12,Dec
04-09,126,04,Apr
01-20,126,01,Jan
01-03,126,01,Jan
05-19,126,05,May
06-17,126,06,Jun
10-07,126,10,Oct
02-14,125,02,Feb
02-04,124,02,Feb
06-02,123,06,Jun
05-12,122,05,May
12-28,122,12,Dec
04-22,121,04,Apr
12-16,121,12,Dec
11-25,121,11,Nov
11-27,121,11,Nov
02-06,121,02,Feb
04-21,120,04,Apr
11-21,120,11,Nov
01-05,119,01,Jan
05-11,119,05,May
01-04,119,01,Jan
03-30,119,03,Mar
01-02,119,01,Jan
01-06,118,01,Jan
03-20,118,03,Mar
11-30,118,11,Nov
11-26,118,11,Nov
05-28,117,05,May
05-30,117,05,May
06-13,117,06,Jun
05-03,117,05,May
01-11,116,01,Jan
12-07,116,12,Dec
06-03,116,06,Jun
03-12,116,03,Mar
04-28,116,04,Apr
01-18,116,01,Jan
01-07,116,01,Jan
05-18,115,05,May
03-18,115,03,Mar
02-08,115,02,Feb
12-11,114,12,Dec
05-04,114,05,May
03-02,114,03,Mar
03-16,114,03,Mar
12-27,113,12,Dec
03-19,113,03,Mar
02-17,112,02,Feb
04-27,112,04,Apr
12-18,111,12,Dec
12-20,111,12,Dec
03-07,111,03,Mar
01-14,111,01,Jan
05-25,110,05,May
03-03,110,03,Mar
01-25,110,01,Jan
05-06,110,05,May
04-26,110,04,Apr
12-04,110,12,Dec
06-12,110,06,Jun
02-24,109,02,Feb
01-12,109,01,Jan
01-17,109,01,Jan
12-08,109,12,Dec
03-17,109,03,Mar
03-08,109,03,Mar
01-28,109,01,Jan
11-29,108,11,Nov
03-21,108,03,Mar
05-22,108,05,May
01-13,108,01,Jan
02-23,107,02,Feb
12-21,107,12,Dec
02-13,107,02,Feb
05-08,107,05,May
03-29,107,03,Mar
01-24,107,01,Jan
04-23,106,04,Apr
04-10,106,04,Apr
03-11,106,03,Mar
05-21,106,05,May
03-23,106,03,Mar
04-08,106,04,Apr
12-14,106,12,Dec
02-09,105,02,Feb
03-31,104,03,Mar
03-05,104,03,Mar
02-22,104,02,Feb
04-13,104,04,Apr
05-29,104,05,May
02-27,103,02,Feb
03-06,103,03,Mar
02-12,103,02,Feb
05-13,103,05,May
04-25,103,04,Apr
02-28,103,02,Feb
06-11,103,06,Jun
12-26,103,12,Dec
05-23,103,05,May
05-10,102,05,May
12-09,102,12,Dec
05-14,102,05,May
04-30,102,04,Apr
02-11,102,02,Feb
04-19,101,04,Apr
05-27,101,05,May
04-06,101,04,Apr
04-07,101,04,Apr
01-16,100,01,Jan
01-31,100,01,Jan
05-31,100,05,May
04-05,99,04,Apr
12-22,99,12,Dec
03-25,99,03,Mar
04-11,99,04,Apr
01-29,99,01,Jan
04-02,98,04,Apr
02-19,98,02,Feb
06-04,97,06,Jun
03-28,97,03,Mar
04-12,97,04,Apr
12-17,96,12,Dec
04-04,96,04,Apr
04-18,96,04,Apr
01-09,95,01,Jan
03-22,95,03,Mar
03-24,95,03,Mar
12-19,95,12,Dec
02-25,95,02,Feb
02-18,93,02,Feb
05-16,93,05,May
02-10,93,02,Feb
02-26,93,02,Feb
05-24,92,05,May
02-05,92,02,Feb
02-21,91,02,Feb
01-26,91,01,Jan
05-17,90,05,May
01-23,90,01,Jan
01-27,89,01,Jan
01-19,89,01,Jan
03-04,89,03,Mar
12-30,88,12,Dec
05-07,88,05,May
02-03,86,02,Feb
01-21,86,01,Jan
05-09,85,05,May
04-03,85,04,Apr
01-22,84,01,Jan
03-26,81,03,Mar
03-27,81,03,Mar
05-02,80,05,May
02-07,79,02,Feb
01-30,75,01,Jan
02-29,23,02,Feb
